"Geographic Area Name (NAME)","Year (YEAR)","2017 NAPCS collection code (NAPCS2017)","Meaning of NAPCS collection code (NAPCS2017_LABEL)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Type of operation code (TYPOP_LABEL)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue of NAPCS collection code ($1,000) (NAPCSDOL)","Industry contribution to total NAPCS collection code sales, value of shipments, or revenue (%) (NAICSALL_PCT)","Range indicating percent of total NAPCS collection code sales, value of shipments, or revenue imputed (NAPCSDOL_IMP)","Relative standard error of NAPCS collection code sales, value of shipments, or revenue (%) (NAPCSDOL_S)"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","448310","Jewelry stores","All establishments","19","148","0.0","Less than 10%","7.9"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","451110","Sporting goods stores","All establishments","12","23 (s)","0.0","30% to less than 40%","87.9"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","451120","Hobby, toy, and game stores","All establishments","1,196","48,567","1.0","Less than 10%","4.1"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","451130","Sewing, needlework, and piece goods stores","All establishments","137","558","0.0","30% to less than 40%","35.9"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","451211","Book stores","All establishments","2,603","110,027","2.4","20% to less than 30%","3.8"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","451212","News dealers and newsstands","All establishments","104","4,828","0.1","70% to less than 80%","29.6"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","452210","Department stores","All establishments","475","18,308","0.4","Less than 10%","1.2"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","452311","Warehouse clubs and supercenters","All establishments","7,258","1,850,681","39.9","20% to less than 30%","0.6"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","452319","All other general merchandise stores","All establishments","34,154","468,120","10.1","40% to less than 50%","1.0"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","453110","Florists","All establishments","2,916","11,987","0.3","50% to less than 60%","10.0"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","453210","Office supplies and stationery stores","All establishments","168","4,149","0.1","30% to less than 40%","23.6"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","453220","Gift, novelty, and souvenir stores","All establishments","4,553","449,933","9.7","40% to less than 50%","6.0"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","453310","Used merchandise stores","All establishments","703","12,541","0.3","20% to less than 30%","13.7"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","453920","Art dealers","All establishments","19","108","0.0","10% to less than 20%","15.7"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","453991","Tobacco stores","All establishments","323","2,062 (s)","0.0","20% to less than 30%","41.0"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","84","519","0.0","60% to less than 70%","30.3"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","454110","Electronic shopping and mail-order houses","All establishments","777","731,426","15.8","50% to less than 60%","39.8"
"United States","2017","5000975000","Retail sales of other publications, including greeting cards and calendars","454390","Other direct selling establishments","All establishments","269","7,558 (s)","0.2","20% to less than 30%","41.0"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","442299","All other home furnishings stores","All establishments","4","208 (s)","0.0","60% to less than 70%","65.2"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","443141","Household appliance stores","All establishments","12","52","0.0","20% to less than 30%","36.4"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","443142","Electronics stores","All establishments","7,314","1,064,451","28.3","30% to less than 40%","1.9"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","444110","Home centers","All establishments","3","16 (s)","0.0","30% to less than 40%","49.3"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","444130","Hardware stores","All establishments","D","D","D","D","D"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","445110","Supermarkets and other grocery (except convenience) stores","All establishments","1,867","17,571","0.5","80% to less than 90%","26.1"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","445120","Convenience stores","All establishments","142","520 (s)","0.0","70% to less than 80%","42.9"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","445310","Beer, wine, and liquor stores","All establishments","3","5","0.0","40% to less than 50%","35.4"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","446110","Pharmacies and drug stores","All establishments","4,299","9,441","0.3","40% to less than 50%","2.7"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","447110","Gasoline stations with convenience stores","All establishments","7","9 (s)","0.0","30% to less than 40%","53.6"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","448110","Men's clothing stores","All establishments","16","535 (s)","0.0","50% to less than 60%","62.8"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","448120","Women's clothing stores","All establishments","D","D","D","D","D"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","448140","Family clothing stores","All establishments","63","99 (s)","0.0","50% to less than 60%","43.2"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","448190","Other clothing stores","All establishments","3","1,529 (s)","0.0","60% to less than 70%","60.8"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","451120","Hobby, toy, and game stores","All establishments","134","952","0.0","20% to less than 30%","30.1"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","451140","Musical instrument and supplies stores","All establishments","D","D","D","D","D"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","451211","Book stores","All establishments","D","D","D","D","D"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","452210","Department stores","All establishments","D","D","D","D","D"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","452311","Warehouse clubs and supercenters","All establishments","5,594","1,012,056","26.9","10% to less than 20%","0.8"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","452319","All other general merchandise stores","All establishments","32,675","182,952","4.9","40% to less than 50%","2.3"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","453210","Office supplies and stationery stores","All establishments","5","54 (s)","0.0","60% to less than 70%","47.9"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","453220","Gift, novelty, and souvenir stores","All establishments","1,054","26,467","0.7","40% to less than 50%","7.7"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","453310","Used merchandise stores","All establishments","521","25,830","0.7","40% to less than 50%","11.5"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","287","32,827 (s)","0.9","70% to less than 80%","47.2"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","454110","Electronic shopping and mail-order houses","All establishments","1,546","1,199,420 (s)","31.9","40% to less than 50%","59.2"
"United States","2017","5001000000","Retail sales of audio and video recordings, including purchased downloads","454390","Other direct selling establishments","All establishments","317","115,570","3.1","70% to less than 80%","32.9"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","443141","Household appliance stores","All establishments","7","15 (s)","0.0","Less than 10%","53.6"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","444130","Hardware stores","All establishments","D","D","D","D","D"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","445110","Supermarkets and other grocery (except convenience) stores","All establishments","3,718","16,836","0.4","70% to less than 80%","9.2"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","445120","Convenience stores","All establishments","7","31 (s)","0.0","80% to less than 90%","95.0"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","448140","Family clothing stores","All establishments","44","5,163 (s)","0.1","10% to less than 20%","46.6"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","448190","Other clothing stores","All establishments","14","1,774 (s)","0.0","80% to less than 90%","70.7"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","451110","Sporting goods stores","All establishments","6,521","3,615,029","85.8","40% to less than 50%","1.7"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","451120","Hobby, toy, and game stores","All establishments","24","2,071 (s)","0.0","80% to less than 90%","88.2"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","452311","Warehouse clubs and supercenters","All establishments","1,640","91,505","2.2","40% to less than 50%","10.8"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","452319","All other general merchandise stores","All establishments","859","11,280","0.3","40% to less than 50%","13.0"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","453310","Used merchandise stores","All establishments","32","2,050 (s)","0.0","30% to less than 40%","53.8"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","D","D","D","D","D"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","454110","Electronic shopping and mail-order houses","All establishments","205","427,099 (s)","10.1","40% to less than 50%","40.9"
"United States","2017","5001025000","Retail sales of bicycles and other cycles, all types, except children's sidewalk bikes, and parts and accessories","454390","Other direct selling establishments","All establishments","72","27,238 (s)","0.6","60% to less than 70%","68.3"
"United States","2017","5001050000","Retail sales of golf equipment","441228","Motorcycle, ATV, and all other motor vehicle dealers","All establishments","9","40 (s)","0.0","Less than 10%","82.7"
"United States","2017","5001050000","Retail sales of golf equipment","448110","Men's clothing stores","All establishments","93","5,175 (s)","0.2","80% to less than 90%","93.0"
"United States","2017","5001050000","Retail sales of golf equipment","448140","Family clothing stores","All establishments","26","99 (s)","0.0","10% to less than 20%","59.4"
"United States","2017","5001050000","Retail sales of golf equipment","448190","Other clothing stores","All establishments","74","21,611","0.9","50% to less than 60%","17.3"
"United States","2017","5001050000","Retail sales of golf equipment","451110","Sporting goods stores","All establishments","3,703","1,849,875","74.4","20% to less than 30%","1.2"
"United States","2017","5001050000","Retail sales of golf equipment","452311","Warehouse clubs and supercenters","All establishments","1,607","86,232","3.5","Less than 10%","1.0"
"United States","2017","5001050000","Retail sales of golf equipment","452319","All other general merchandise stores","All establishments","237","2,184","0.1","50% to less than 60%","25.9"
"United States","2017","5001050000","Retail sales of golf equipment","453310","Used merchandise stores","All establishments","29","4,456","0.2","Less than 10%","9.7"
"United States","2017","5001050000","Retail sales of golf equipment","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","45","62 (s)","0.0","20% to less than 30%","53.4"
"United States","2017","5001050000","Retail sales of golf equipment","454110","Electronic shopping and mail-order houses","All establishments","273","511,954 (s)","20.6","60% to less than 70%","84.5"
"United States","2017","5001050000","Retail sales of golf equipment","454390","Other direct selling establishments","All establishments","29","3,818 (s)","0.2","20% to less than 30%","88.9"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","441210","Recreational vehicle dealers","All establishments","54","11,161","0.1","30% to less than 40%","21.3"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","441222","Boat dealers","All establishments","728","125,416","0.6","20% to less than 30%","6.4"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","441228","Motorcycle, ATV, and all other motor vehicle dealers","All establishments","54","8,104 (s)","0.0","40% to less than 50%","42.4"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","442299","All other home furnishings stores","All establishments","D","D","D","D","D"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","443141","Household appliance stores","All establishments","106","2,927","0.0","20% to less than 30%","16.5"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","443142","Electronics stores","All establishments","4","110","0.0","30% to less than 40%","25.8"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","444110","Home centers","All establishments","D","D","D","D","D"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","444130","Hardware stores","All establishments","3,966","158,644","0.7","40% to less than 50%","7.9"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","444190","Other building material dealers","All establishments","637","21,375","0.1","30% to less than 40%","18.6"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","444210","Outdoor power equipment stores","All establishments","34","3,018 (s)","0.0","30% to less than 40%","67.7"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","444220","Nursery, garden center, and farm supply stores","All establishments","1,092","133,134","0.6","40% to less than 50%","14.5"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","445110","Supermarkets and other grocery (except convenience) stores","All establishments","6,444","132,030","0.6","70% to less than 80%","9.0"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","445120","Convenience stores","All establishments","867","32,497 (s)","0.1","80% to less than 90%","60.0"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","445220","Fish and seafood markets","All establishments","D","D","D","D","D"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","445310","Beer, wine, and liquor stores","All establishments","188","3,915","0.0","20% to less than 30%","34.7"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","446110","Pharmacies and drug stores","All establishments","100","7,781","0.0","50% to less than 60%","30.0"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","447110","Gasoline stations with convenience stores","All establishments","6,880","111,407","0.5","60% to less than 70%","13.2"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","447190","Other gasoline stations","All establishments","139","7,324 (s)","0.0","80% to less than 90%","74.2"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","448110","Men's clothing stores","All establishments","140","6,775","0.0","40% to less than 50%","32.0"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","448120","Women's clothing stores","All establishments","S","A","S","S","S"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","448140","Family clothing stores","All establishments","1,093","117,542","0.5","40% to less than 50%","9.6"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","448190","Other clothing stores","All establishments","167","24,860 (s)","0.1","50% to less than 60%","63.2"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","448210","Shoe stores","All establishments","836","4,867","0.0","10% to less than 20%","7.0"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","451110","Sporting goods stores","All establishments","9,075","10,542,910","46.9","30% to less than 40%","2.2"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","451130","Sewing, needlework, and piece goods stores","All establishments","D","D","D","D","D"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","452210","Department stores","All establishments","D","D","D","D","D"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","452311","Warehouse clubs and supercenters","All establishments","7,979","6,368,596","28.3","20% to less than 30%","0.8"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","452319","All other general merchandise stores","All establishments","2,393","853,032","3.8","30% to less than 40%","5.4"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","453220","Gift, novelty, and souvenir stores","All establishments","16","26 (s)","0.0","60% to less than 70%","94.6"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","453310","Used merchandise stores","All establishments","68","2,983 (s)","0.0","30% to less than 40%","83.7"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","453910","Pet and pet supplies stores","All establishments","D","D","D","D","D"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","453920","Art dealers","All establishments","D","D","D","D","D"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","453991","Tobacco stores","All establishments","28","236","0.0","Less than 10%","24.9"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","154","8,555","0.0","30% to less than 40%","17.3"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","454110","Electronic shopping and mail-order houses","All establishments","1,169","3,668,983","16.3","20% to less than 30%","36.1"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","454310","Fuel dealers","All establishments","13","115 (s)","0.0","Less than 10%","83.3"
"United States","2017","5001075000","Retail sales of hunting, fishing, hiking, and camping equipment","454390","Other direct selling establishments","All establishments","306","74,888","0.3","40% to less than 50%","28.0"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","441210","Recreational vehicle dealers","All establishments","11","2,452","0.0","20% to less than 30%","36.6"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","441222","Boat dealers","All establishments","160","42,920","0.3","40% to less than 50%","34.9"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","441228","Motorcycle, ATV, and all other motor vehicle dealers","All establishments","83","11,006 (s)","0.1","10% to less than 20%","44.8"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","442110","Furniture stores","All establishments","18","3,534 (s)","0.0","30% to less than 40%","45.6"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","442299","All other home furnishings stores","All establishments","1,307","39,218 (s)","0.2","40% to less than 50%","44.6"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","443141","Household appliance stores","All establishments","D","D","D","D","D"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","444110","Home centers","All establishments","321","8,793","0.1","60% to less than 70%","24.2"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","444130","Hardware stores","All establishments","3,131","164,089","1.0","60% to less than 70%","7.0"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","444190","Other building material dealers","All establishments","341","12,849","0.1","20% to less than 30%","38.6"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","444210","Outdoor power equipment stores","All establishments","29","2,537 (s)","0.0","10% to less than 20%","60.0"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","444220","Nursery, garden center, and farm supply stores","All establishments","319","35,360 (s)","0.2","70% to less than 80%","52.7"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","445110","Supermarkets and other grocery (except convenience) stores","All establishments","6,142","115,026","0.7","50% to less than 60%","4.0"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","445120","Convenience stores","All establishments","109","2,094 (s)","0.0","80% to less than 90%","64.7"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","445310","Beer, wine, and liquor stores","All establishments","38","2,026 (s)","0.0","40% to less than 50%","92.5"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","446110","Pharmacies and drug stores","All establishments","838","7,639","0.0","20% to less than 30%","14.9"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","447110","Gasoline stations with convenience stores","All establishments","622","10,038","0.1","60% to less than 70%","25.0"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","447190","Other gasoline stations","All establishments","21","353","0.0","10% to less than 20%","12.5"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","448110","Men's clothing stores","All establishments","91","18,424 (s)","0.1","50% to less than 60%","54.4"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","448120","Women's clothing stores","All establishments","77","1,088","0.0","20% to less than 30%","11.1"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","448140","Family clothing stores","All establishments","842","201,092","1.2","50% to less than 60%","20.4"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","448150","Clothing accessories stores","All establishments","6","1,430","0.0","30% to less than 40%","27.4"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","448190","Other clothing stores","All establishments","341","52,119 (s)","0.3","60% to less than 70%","42.8"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","448210","Shoe stores","All establishments","1,921","316,318 (s)","1.9","60% to less than 70%","46.8"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","451110","Sporting goods stores","All establishments","11,258","8,507,652","51.3","50% to less than 60%","3.8"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","451120","Hobby, toy, and game stores","All establishments","210","12,361","0.1","40% to less than 50%","25.5"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","452210","Department stores","All establishments","D","D","D","D","D"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","452311","Warehouse clubs and supercenters","All establishments","7,416","825,116","5.0","20% to less than 30%","0.6"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","452319","All other general merchandise stores","All establishments","5,233","143,951","0.9","20% to less than 30%","2.2"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","453220","Gift, novelty, and souvenir stores","All establishments","121","1,447 (s)","0.0","30% to less than 40%","66.4"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","453310","Used merchandise stores","All establishments","S","A","S","S","S"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","453920","Art dealers","All establishments","S","A","S","S","S"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","453991","Tobacco stores","All establishments","8","922 (s)","0.0","60% to less than 70%","77.9"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","453998","All other miscellaneous store retailers (except tobacco stores)","All establishments","515","507,936","3.1","50% to less than 60%","13.4"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","454110","Electronic shopping and mail-order houses","All establishments","1,524","5,290,175","31.9","50% to less than 60%","17.8"
"United States","2017","5001100000","Retail sales of other sporting goods and equipment, excluding sport vehicles","454390","Other direct selling establishments","All establishments","258","200,342","1.2","40% to less than 50%","21.0"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","441310","Automotive parts and accessories stores","All establishments","S","A","S","S","S"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","442110","Furniture stores","All establishments","551","16,740","0.0","10% to less than 20%","10.0"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","442299","All other home furnishings stores","All establishments","2,321","217,379","0.5","40% to less than 50%","7.6"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","443141","Household appliance stores","All establishments","291","3,032","0.0","10% to less than 20%","28.5"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","443142","Electronics stores","All establishments","5,079","1,542,109","3.3","10% to less than 20%","2.7"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","444110","Home centers","All establishments","2,076","5,072","0.0","20% to less than 30%","5.5"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","444120","Paint and wallpaper stores","All establishments","31","347","0.0","20% to less than 30%","10.3"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","444130","Hardware stores","All establishments","2,817","55,553","0.1","60% to less than 70%","13.6"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","444190","Other building material dealers","All establishments","81","1,134","0.0","20% to less than 30%","16.9"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","444210","Outdoor power equipment stores","All establishments","31","364","0.0","40% to less than 50%","37.5"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","444220","Nursery, garden center, and farm supply stores","All establishments","1,011","23,906","0.1","40% to less than 50%","7.3"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","445110","Supermarkets and other grocery (except convenience) stores","All establishments","13,451","400,666","0.9","60% to less than 70%","6.2"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","445120","Convenience stores","All establishments","2,722","16,661","0.0","70% to less than 80%","13.8"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","445210","Meat markets","All establishments","D","D","D","D","D"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","445220","Fish and seafood markets","All establishments","D","D","D","D","D"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","445230","Fruit and vegetable markets","All establishments","S","A","S","S","S"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","445292","Confectionery and nut stores","All establishments","124","5,953","0.0","30% to less than 40%","19.9"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","445310","Beer, wine, and liquor stores","All establishments","318","3,986","0.0","50% to less than 60%","35.2"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","446110","Pharmacies and drug stores","All establishments","23,904","830,620","1.8","40% to less than 50%","0.7"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","446191","Food (health) supplement stores","All establishments","70","572 (s)","0.0","70% to less than 80%","60.2"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","447110","Gasoline stations with convenience stores","All establishments","263","1,635","0.0","40% to less than 50%","25.6"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","448110","Men's clothing stores","All establishments","88","3,903","0.0","30% to less than 40%","14.4"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","448120","Women's clothing stores","All establishments","802","7,732","0.0","50% to less than 60%","25.9"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","448130","Children's and infants' clothing stores","All establishments","2,690","145,186","0.3","30% to less than 40%","3.4"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","448140","Family clothing stores","All establishments","3,835","294,545","0.6","40% to less than 50%","7.2"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","448150","Clothing accessories stores","All establishments","S","A","S","S","S"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","448190","Other clothing stores","All establishments","234","8,572","0.0","40% to less than 50%","22.6"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","448210","Shoe stores","All establishments","823","2,497","0.0","10% to less than 20%","1.8"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","448310","Jewelry stores","All establishments","77","6,077 (s)","0.0","70% to less than 80%","55.0"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","451110","Sporting goods stores","All establishments","2,352","290,440","0.6","20% to less than 30%","2.3"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","451120","Hobby, toy, and game stores","All establishments","8,507","10,062,397","21.8","10% to less than 20%","1.0"
"United States","2017","5001125000","Retail sales of toys, games, and hobby and craft supplies","451130","Sewing, needlework, and piece goods stores","All establishments","1,417","467,614","1.0","Less than 10%","1.0"
